년,월,순위,외지인 검색 수,분류,관광지명,주소
2018,2,39,3475,호텔,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0
2018,2,40,3280,콘도미니엄,소노캄제주,제주 서귀포시 일주동로 6347-17
2018,2,41,3218,교통시설,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21
2018,2,42,3190,자연경관(하천/해양),성산항,제주 서귀포시
2018,2,43,3128,테마공원,9.81파크,제주 제주시 천덕로 880-24
2018,2,43,3128,자연경관(산),안돌오름,제주 제주시
2018,2,45,3126,복합관광시설,제주신화월드,제주 서귀포시 신화역사로304번길 139-0
2018,2,46,3067,자연경관(산),새별오름,제주 제주시
2018,2,47,3060,콘도미니엄,소노벨제주,제주 제주시 신북로 577-0
2018,2,48,3028,자연경관(산),엉또폭포,제주 서귀포시
2018,2,49,2942,콘도미니엄,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0
2018,2,50,2888,자연공원,제주절물자연휴양림,제주 제주시 명림로 584-0
2018,2,51,2883,기타관광,보롬왓,제주 서귀포시 번영로 2350-104
2018,2,52,2828,대형마트,이마트제주점,제주 제주시 탑동로 38-0
2018,2,53,2816,호텔,호텔더본제주,제주 서귀포시 색달로 18-0
2018,2,54,2692,기타관광,혼인지,제주 서귀포시 혼인지로 39-22
2018,2,55,2629,자연경관(하천/해양),광치기해변,제주 서귀포시
2018,2,56,2587,자연경관(하천/해양),세화해수욕장,제주 제주시 충렬로 141-1
2018,2,57,2577,호텔,신라스테이제주,제주 제주시 노연로 100-0
2018,2,58,2571,콘도미니엄,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19
2018,2,59,2563,호텔,롯데시티호텔제주,제주 제주시 도령로 83-0
2018,2,60,2543,기타레저스포츠,종달리수국길,제주 제주시
2018,2,61,2369,자연경관(산),금오름,제주 제주시
2018,2,62,2352,자연생태,만장굴,제주 제주시 만장굴길 182-0
2018,2,63,2348,호텔,라마다제주시티홀호텔,제주 제주시 중앙로 304-0
2018,2,64,2345,자연경관(산),용눈이오름,제주 제주시
2018,2,65,2330,웰니스관광,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0
2018,2,66,2324,자연경관(산),천제연폭포,제주 서귀포시 천제연로 132-0
2018,2,67,2321,면세점,제주관광공사면세점,제주 서귀포시 중문관광로 224-0
2018,2,68,2301,호텔,제주오션팰리스호텔,제주 서귀포시 중앙로 14-0
2018,2,69,2297,호텔,메종글래드제주호텔,제주 제주시 노연로 80-0
2018,2,70,2264,호텔,호텔휘슬락,제주 제주시 서부두2길 26-0
2018,2,71,2208,호텔,호텔리젠트마린,제주 제주시 서부두2길 20-0
2018,2,72,2196,기타레저스포츠,한담해안산책로,제주 제주시 애월로 0-0
2018,2,73,2139,복합관광시설,중문관광단지,제주 서귀포시
2018,2,74,2109,도시공원,휴애리자연생활공원,제주 서귀포시 신례동로 256-0
2018,2,75,2024,콘도미니엄,금호리조트제주,제주 서귀포시 태위로 522-12
2018,2,76,2016,호텔,서귀포칼호텔,제주 서귀포시 칠십리로 242-0
2018,2,77,1995,시장,제주민속오일시장,제주 제주시 오일장서길 26-0
2018,2,78,1984,도시공원,한림공원,제주 제주시 한림로 300-0
2018,2,79,1982,자연경관(하천/해양),황우지해안,제주 서귀포시
2018,2,80,1920,호텔,베스트웨스턴제주호텔,제주 제주시 도령로 27-0
2018,2,81,1861,콘도미니엄,한화리조트제주,제주 제주시 명림로 575-107
2018,2,82,1848,시장,동문수산시장,제주 제주시 관덕로14길 20-0
2018,2,83,1840,자연경관(하천/해양),모슬포항,제주 서귀포시 하모항구로 30-0
2018,2,84,1760,호텔,그라벨호텔제주,제주 제주시 일주서로 7316-0
2018,2,85,1745,테마공원,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0
2018,2,86,1738,대형마트,롯데마트제주점,제주 제주시 연북로 1-0
2018,2,87,1701,콘도미니엄,이랜드파크켄싱턴리조트서귀포점,제주 서귀포시 이어도로 684-0
2018,2,88,1669,교통시설,제주항연안여객터미널,제주 제주시 임항로 111-0
2018,2,89,1659,호텔,라마다프라자제주호텔,제주 제주시 탑동로 66-0
2018,2,90,1607,자연경관(산),산방산,제주 서귀포시 산방로 218-10
2018,2,91,1602,대형마트,홈플러스서귀포점,제주 서귀포시 중앙로 180-0
2018,2,92,1579,시장,수목원길야시장,제주 제주시
2018,2,93,1557,호텔,골든튤립제주성산호텔,제주 서귀포시 일출로 31-0
2018,2,94,1486,콘도미니엄,더포그레이스호텔앤리조트,제주 서귀포시 해맞이해안로 2670-0
2018,2,95,1460,호텔,아트스테이서귀포하버,제주 서귀포시 태평로 436-0
2018,2,96,1455,기타레저스포츠,송악산둘레길,제주 서귀포시
2018,2,97,1449,호텔,라마다앙코르이스트서귀포호텔,제주 서귀포시 서호중로 65-0
2018,2,98,1409,복합관광시설,산굼부리,제주 제주시
2018,2,99,1406,데이트코스,용담이호해안도로,제주 제주시
2018,2,100,1379,자연경관(하천/해양),삼양해수욕장,제주 제주시
2018,3,1,52426,교통시설,제주국제공항,제주 제주시 공항로 2-0
2018,3,2,34533,시장,동문재래시장,제주 제주시 관덕로14길 20-0
2018,3,3,27902,시장,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0
2018,3,4,25972,자연경관(하천/해양),협재해수욕장,제주 제주시
2018,3,5,21425,자연경관(하천/해양),함덕해수욕장,제주 제주시 조함해안로 525-0
2018,3,6,16538,자연경관(산),성산일출봉,제주 서귀포시 일출로 284-12
2018,3,7,13732,자연경관(하천/해양),이호테우해변,제주 제주시
2018,3,8,13419,자연경관(하천/해양),곽지해수욕장,제주 제주시
2018,3,9,12867,전시시설,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0
2018,3,10,12288,자연경관(하천/해양),금능해수욕장,제주 제주시 금능길 119-10
2018,3,11,12029,기타관광,섭지코지,제주 서귀포시 섭지코지로 107-0
2018,3,12,11086,기타관광,쇠소깍,제주 서귀포시 쇠소깍로 128-0
2018,3,13,10007,기타레저스포츠,한라산둘레길사려니숲길,제주 제주시
2018,3,14,9864,자연경관(하천/해양),김녕해수욕장,제주 제주시 해맞이해안로 7-6
2018,3,15,9669,대형마트,이마트서귀포점,제주 서귀포시 일주동로 9209-0
2018,3,16,9626,테마공원,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15
2018,3,17,9277,자연경관(산),천지연폭포,제주 서귀포시 서문서로 1-1
2018,3,18,8691,자연공원,비자림,제주 제주시 비자숲길 55-0
2018,3,19,8541,자연경관(하천/해양),월정리해변,제주 제주시
2018,3,20,8264,기타관광,용두암,제주 제주시 용두암길 15-0
2018,3,21,8033,콘도미니엄,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0
2018,3,22,7725,데이트코스,신창풍차해안도로,제주 제주시
2018,3,23,7387,콘도미니엄,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0
2018,3,24,7316,기타관광,주상절리대,제주 서귀포시 이어도로 36-30
2018,3,25,7303,전시시설,빛의벙커,제주 서귀포시
2018,3,26,7045,호텔,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0
2018,3,27,6993,테마공원,9.81파크,제주 제주시 천덕로 880-24
2018,3,28,6954,교통시설,우도도항선선착장,제주 서귀포시 성산등용로 130-21
2018,3,29,6940,자연생태,만장굴,제주 제주시 만장굴길 182-0
2018,3,30,6909,자연경관(하천/해양),중문색달해변,제주 서귀포시 중문관광로72번길 0-0
2018,3,31,6887,자연경관(하천/해양),표선해수욕장,제주 서귀포시
2018,3,32,6770,기타관광,용머리해안,제주 서귀포시 사계남로216번길 24-32
2018,3,33,6622,대형마트,이마트신제주점,제주 제주시 1100로 3348-0
2018,3,34,6506,자연경관(산),정방폭포,제주 서귀포시
2018,3,35,6405,콘도미니엄,소노캄제주,제주 서귀포시 일주동로 6347-17
2018,3,36,5970,데이트코스,하귀애월해안도로,제주 제주시
2018,3,37,5964,호텔,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0
2018,3,38,5867,자연경관(하천/해양),판포포구,제주 제주시
2018,3,39,5697,교통시설,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21
2018,3,40,5615,자연경관(하천/해양),성산항,제주 서귀포시
2018,3,41,5424,콘도미니엄,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19
2018,3,42,5366,자연경관(산),안돌오름,제주 제주시
2018,3,43,5353,호텔,해비치호텔,제주 서귀포시 민속해안로 537-0
2018,3,44,5347,호텔,메종글래드제주호텔,제주 제주시 노연로 80-0
2018,3,45,5280,자연경관(하천/해양),세화해수욕장,제주 제주시 충렬로 141-1
2018,3,46,5099,테마공원,에코랜드테마파크,제주 제주시 번영로 1278-169
2018,3,47,5067,콘도미니엄,휘닉스제주,제주 서귀포시 섭지코지로 107-0
2018,3,48,5046,콘도미니엄,한화리조트제주,제주 제주시 명림로 575-107
2018,3,49,4980,교통시설,제주항연안여객터미널,제주 제주시 임항로 111-0
2018,3,50,4959,콘도미니엄,소노벨제주,제주 제주시 신북로 577-0
2018,3,51,4897,콘도미니엄,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0
2018,3,52,4773,복합관광시설,제주신화월드,제주 서귀포시 신화역사로304번길 139-0
2018,3,53,4751,콘도미니엄,금호리조트제주,제주 서귀포시 태위로 522-12
2018,3,54,4712,자연경관(하천/해양),광치기해변,제주 서귀포시
2018,3,55,4704,대형마트,이마트제주점,제주 제주시 탑동로 38-0
2018,3,56,4566,기타관광,선녀탕,제주 서귀포시
2018,3,57,4339,자연공원,제주절물자연휴양림,제주 제주시 명림로 584-0
2018,3,58,4338,호텔,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0
2018,3,59,4331,자연경관(하천/해양),황우지해안,제주 서귀포시
