TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,PURCHS_DT,ADULT_NMPR_CO,CHILD_NMPR_CO,INFNT_NMPR_CO,USE_DT,SETLE_MN_NM,TOT_AMOUNT
목장카페드르쿰다-카트(1인) 이용권,동부권,제주특별자치도 서귀포시 표선면 번영로 2454 (주)동부레저,0,0,레저/체험/액티비티,,,3,,,2021-05-07 오전 9:39:00,2,2,0,2021-05-07 오전 11:58:52,채널결제,60000
목장카페드르쿰다-승마(체험코스) 이용권,동부권,제주특별자치도 서귀포시 표선면 번영로 2454 (주)동부레저,0,0,레저/체험/액티비티,,,3,,,2021-05-07 오전 9:39:00,0,2,0,2021-05-07 오전 11:58:58,채널결제,18000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 11:13:00,2,0,0,2021-05-07 오후 12:01:31,채널결제,13000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 6:53:00,1,0,0,2021-05-07 오후 12:02:58,채널결제,6500
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-05 오후 11:40:00,1,0,0,2021-05-07 오후 12:05:56,채널결제,6500
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 10:59:00,1,0,0,2021-05-07 오후 12:11:42,채널결제,6500
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-06 오후 11:01:00,1,0,0,2021-05-07 오후 12:20:43,채널결제,6500
자유이용권(서귀포잠수함),중문/서귀포,제주특별자치도 서귀포시 남성중로 40 대국해저관광(주)(서귀포잠수함),0,0,,,,3,,,2021-05-05 오후 5:32:00,2,1,0,2021-05-07 오후 12:32:13,빌링(LG),257800
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 9:53:00,1,0,0,2021-05-07 오후 12:47:36,채널결제,6500
제주레포츠랜드 - 카트 이용권,동부권,제주특별자치도 제주시 조천읍 와흘상서2길 47 제주레포츠랜드㈜,0,0,레저/체험/액티비티,,,3,,,2021-05-07 오후 12:11:00,3,0,0,2021-05-07 오후 12:49:17,카드,85000
자유이용권(점보빌리지),서부권,제주특별자치도 서귀포시 안덕면 평화로319번길 31-11 ㈜백상(점보빌리지),0,0,,,,3,,,2021-04-29 오전 10:35:00,2,1,0,2021-05-07 오후 12:56:28,빌링(LG),65600
세계자동차&피아노박물관 입장권,중문/서귀포,제주특별자치도 서귀포시 안덕면 중산간서로 1610 세계자동차제주박물관,0,0,전시/박물관,,,3,,,2021-05-07 오후 12:05:00,1,1,0,2021-05-07 오후 1:00:31,채널결제,22000
