년월,읍면동명,업종명,이용금액
2017-01,연동,빵 및 과자류 소매업,245983657
2017-01,연동,서양식 음식점업,434309752
2017-01,연동,일식 음식점업,352740316
2017-01,연동,중식 음식점업,212738732
2017-01,연동,한식 음식점업,3998985265
2017-01,영남동,기타 외국식 음식점업,0
2017-01,영남동,비알콜 음료점업,0
2017-01,영남동,빵 및 과자류 소매업,0
2017-01,영남동,서양식 음식점업,0
2017-01,영남동,일식 음식점업,0
2017-01,영남동,중식 음식점업,0
2017-01,영남동,한식 음식점업,0
2017-01,영평동,기타 외국식 음식점업,0
2017-01,영평동,비알콜 음료점업,1829600
2017-01,영평동,빵 및 과자류 소매업,4173960
2017-01,영평동,서양식 음식점업,2988200
2017-01,영평동,일식 음식점업,15044500
2017-01,영평동,중식 음식점업,0
2017-01,영평동,한식 음식점업,6890000
2017-01,오등동,기타 외국식 음식점업,0
2017-01,오등동,비알콜 음료점업,0
2017-01,오등동,빵 및 과자류 소매업,0
2017-01,오등동,서양식 음식점업,1762800
2017-01,오등동,일식 음식점업,0
2017-01,오등동,중식 음식점업,0
2017-01,오등동,한식 음식점업,41405500
2017-01,오라삼동,기타 외국식 음식점업,0
2017-01,오라삼동,비알콜 음료점업,1742100
2017-01,오라삼동,빵 및 과자류 소매업,5000
2017-01,오라삼동,서양식 음식점업,3807100
2017-01,오라삼동,일식 음식점업,0
2017-01,오라삼동,중식 음식점업,0
2017-01,오라삼동,한식 음식점업,90605900
2017-01,오라이동,기타 외국식 음식점업,0
2017-01,오라이동,비알콜 음료점업,13876800
2017-01,오라이동,빵 및 과자류 소매업,7191100
2017-01,오라이동,서양식 음식점업,1964650
2017-01,오라이동,일식 음식점업,16664000
2017-01,오라이동,중식 음식점업,0
2017-01,오라이동,한식 음식점업,210956795
2017-01,오라일동,기타 외국식 음식점업,1482000
2017-01,오라일동,비알콜 음료점업,28819920
2017-01,오라일동,빵 및 과자류 소매업,11184210
2017-01,오라일동,서양식 음식점업,5703500
2017-01,오라일동,일식 음식점업,4755000
2017-01,오라일동,중식 음식점업,1466000
2017-01,오라일동,한식 음식점업,422736074
2017-01,외도이동,기타 외국식 음식점업,0
2017-01,외도이동,비알콜 음료점업,266900
2017-01,외도이동,빵 및 과자류 소매업,5571400
2017-01,외도이동,서양식 음식점업,4022000
2017-01,외도이동,일식 음식점업,40270500
2017-01,외도이동,중식 음식점업,305000
2017-01,외도이동,한식 음식점업,38622200
2017-01,외도일동,기타 외국식 음식점업,13496700
2017-01,외도일동,비알콜 음료점업,13550880
2017-01,외도일동,빵 및 과자류 소매업,52052480
2017-01,외도일동,서양식 음식점업,42340600
2017-01,외도일동,일식 음식점업,11187200
2017-01,외도일동,중식 음식점업,29850800
2017-01,외도일동,한식 음식점업,536016882
2017-01,용담삼동,기타 외국식 음식점업,4523000
2017-01,용담삼동,비알콜 음료점업,37169660
2017-01,용담삼동,빵 및 과자류 소매업,10847400
2017-01,용담삼동,서양식 음식점업,48178010
2017-01,용담삼동,일식 음식점업,118506700
2017-01,용담삼동,중식 음식점업,1755000
2017-01,용담삼동,한식 음식점업,436952600
2017-01,용담이동,기타 외국식 음식점업,20500
2017-01,용담이동,비알콜 음료점업,140043930
2017-01,용담이동,빵 및 과자류 소매업,66267600
2017-01,용담이동,서양식 음식점업,13582910
2017-01,용담이동,일식 음식점업,41419700
2017-01,용담이동,중식 음식점업,30092500
2017-01,용담이동,한식 음식점업,726582964
2017-01,용담일동,기타 외국식 음식점업,3296000
2017-01,용담일동,비알콜 음료점업,256500
2017-01,용담일동,빵 및 과자류 소매업,21569500
2017-01,용담일동,서양식 음식점업,4552500
2017-01,용담일동,일식 음식점업,43839000
2017-01,용담일동,중식 음식점업,11170150
2017-01,용담일동,한식 음식점업,299840764
2017-01,우도면,기타 외국식 음식점업,0
2017-01,우도면,비알콜 음료점업,13579700
2017-01,우도면,빵 및 과자류 소매업,5955400
2017-01,우도면,서양식 음식점업,8801500
2017-01,우도면,일식 음식점업,6369500
2017-01,우도면,중식 음식점업,0
2017-01,우도면,한식 음식점업,158629350
2017-01,월평동,기타 외국식 음식점업,0
2017-01,월평동,비알콜 음료점업,121000
2017-01,월평동,빵 및 과자류 소매업,0
2017-01,월평동,서양식 음식점업,0
2017-01,월평동,일식 음식점업,0
2017-01,월평동,중식 음식점업,0
2017-01,월평동,한식 음식점업,32309000
2017-01,이도이동,기타 외국식 음식점업,47326900
2017-01,이도이동,비알콜 음료점업,133935714
