연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
201806,일식 음식점업,내국인,남성,11162,11327,861570148
201806,일식 음식점업,내국인,알수없음,18,20,2359200
201806,일식 음식점업,내국인,여성,8569,8711,586408722
201806,일식 음식점업,중국,알수없음,4,4,519000
201806,중식 음식점업,내국인,남성,7427,7625,208693630
201806,중식 음식점업,내국인,알수없음,35,36,1648000
201806,중식 음식점업,내국인,여성,3800,3870,112354232
201806,중식 음식점업,중국,알수없음,6,6,206500
201806,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,20335,21965,260094769
201806,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,알수없음,67,72,755050
201806,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,16565,17802,207876580
201806,"피자, 햄버거, 샌드위치 및 유사 음식점업",중국,알수없음,1,1,12000
201806,한식 음식점업,내국인,남성,175845,184014,7545797079
201806,한식 음식점업,내국인,알수없음,270,280,10635390
201806,한식 음식점업,내국인,여성,134082,139988,5397419241
201806,한식 음식점업,중국,알수없음,297,307,14573000
201807,관광 민예품 및 선물용품 소매업,내국인,남성,9814,10627,307620889
201807,관광 민예품 및 선물용품 소매업,내국인,알수없음,15,16,321700
201807,관광 민예품 및 선물용품 소매업,내국인,여성,12188,13328,363837860
201807,관광 민예품 및 선물용품 소매업,중국,알수없음,31,32,8844200
201807,그외 기타 분류안된 오락관련 서비스업,내국인,남성,48,48,2261600
201807,그외 기타 분류안된 오락관련 서비스업,내국인,여성,32,33,1388300
201807,기타 수상오락 서비스업,내국인,남성,20,20,1657000
201807,기타 수상오락 서비스업,내국인,여성,20,20,2378000
201807,기타 외국식 음식점업,내국인,남성,2930,3035,97897664
201807,기타 외국식 음식점업,내국인,알수없음,8,8,279500
201807,기타 외국식 음식점업,내국인,여성,1750,1784,57414909
201807,기타 외국식 음식점업,중국,알수없음,3,3,259000
201807,비알콜 음료점업,내국인,남성,27230,29228,297923350
201807,비알콜 음료점업,내국인,알수없음,69,78,714300
201807,비알콜 음료점업,내국인,여성,28928,31081,320688564
201807,비알콜 음료점업,중국,알수없음,2,2,68500
201807,빵 및 과자류 소매업,내국인,남성,17145,18533,251240720
201807,빵 및 과자류 소매업,내국인,알수없음,62,68,657350
201807,빵 및 과자류 소매업,내국인,여성,20270,21898,292159784
201807,빵 및 과자류 소매업,중국,알수없음,14,14,216230
201807,서양식 음식점업,내국인,남성,39340,43086,966206210
201807,서양식 음식점업,내국인,알수없음,65,69,1852200
201807,서양식 음식점업,내국인,여성,47574,52188,1065694162
201807,서양식 음식점업,중국,알수없음,64,78,2225500
201807,스포츠 및 레크레이션 용품 임대업,내국인,남성,6382,7141,412933785
201807,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,20,23,1277340
201807,스포츠 및 레크레이션 용품 임대업,내국인,여성,3621,4110,245774593
201807,스포츠 및 레크레이션 용품 임대업,중국,알수없음,175,200,21577500
201807,일식 음식점업,내국인,남성,11301,11483,823107330
201807,일식 음식점업,내국인,알수없음,12,12,523900
201807,일식 음식점업,내국인,여성,8314,8451,528532670
201807,일식 음식점업,중국,알수없음,11,11,670000
201807,중식 음식점업,내국인,남성,7841,8114,220621380
201807,중식 음식점업,내국인,알수없음,13,13,495800
201807,중식 음식점업,내국인,여성,4030,4129,118222010
201807,중식 음식점업,중국,알수없음,5,5,299000
201807,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,23051,24804,303080145
201807,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,알수없음,92,105,1175380
201807,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,18585,19981,237941549
201807,한식 음식점업,내국인,남성,184664,193540,7850344353
201807,한식 음식점업,내국인,알수없음,299,313,11925350
