사업장명,업종구분대분류,업종구분소분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,부대시설내역,데이터갱신일자
성산 호스텔,관광사업자,관광숙박업,20140127,,영업/정상,,,,,654.48,제주특별자치도 서귀포시 성산읍 수산리 2579 - 8,제주특별자치도 서귀포시 성산읍 서성일로 726-35,,,2019-06-15 02:21:11
제주메이리조트,관광사업자,관광숙박업,20140129,,영업/정상,,,,,0.0,제주특별자치도 제주시 구좌읍 동복리 1652 - 2,제주특별자치도 제주시 구좌읍 일주동로 1626,,,2019-06-15 02:21:11
일레호텔 인 제주,관광사업자,관광숙박업,20140204,,영업/정상,,,,,2412.57,제주특별자치도 서귀포시 회수동 659,제주특별자치도 서귀포시 일주서로 660 (회수동),,,2019-06-15 02:21:11
에띠에호스텔,관광사업자,관광숙박업,20140211,,영업/정상,,,,,1127.45,제주특별자치도 서귀포시 강정동 2503 - 1,제주특별자치도 서귀포시 이어도로 738 (강정동),,,2019-06-15 02:21:11
롯데시티호텔제주,관광사업자,관광숙박업,20140214,,영업/정상,,,,,6174.4,제주특별자치도 제주시 연동 2324 - 6,제주특별자치도 제주시 도령로 83 (연동),,"면세점, 연회장, 문화센터, 헬스케어, 회의실, 레스토랑",2019-06-15 02:21:11
레드월호스텔,관광사업자,관광숙박업,20140217,,영업/정상,,,,,1494.12,제주특별자치도 제주시 이호일동 1812 - 7,제주특별자치도 제주시 현사길 33 (이호일동),,,2019-06-15 02:21:11
두나투어 주식회사,관광사업자,여행업,20130927,,영업/정상,,,,,0.0,제주특별자치도 제주시 외도일동 476 - 3 201호,제주특별자치도 제주시 우정로 37 (외도일동),,,2019-06-15 02:21:11
투어어드바이저(주),관광사업자,여행업,20131010,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 252 - 19,"제주특별자치도 제주시 제원4길 21, 101호 (연동)",,,2019-06-15 02:21:11
만통(주),관광사업자,여행업,20131015,,영업/정상,,,,,71.33,제주특별자치도 제주시 도남동 696 - 4,"제주특별자치도 제주시 청사로 20, 3층 (도남동)",,,2019-06-15 02:21:11
(주)배타고닷컴,관광사업자,여행업,20131018,,영업/정상,,,,,0.0,제주특별자치도 제주시 용담일동 2650 - 3,"제주특별자치도 제주시 남성로 7, 2층 (용담일동)",,,2019-06-15 02:21:11
(주)제주케이여행사,관광사업자,여행업,20131104,,영업/정상,,,,,68.8,제주특별자치도 제주시 연동 281 - 28,제주특별자치도 제주시 삼무로 61 (연동),,,2019-06-15 02:21:11
(주)한화국제여행사,관광사업자,여행업,20131105,,영업/정상,,,,,92.0,제주특별자치도 제주시 노형동 1293 - 4,"제주특별자치도 제주시 다랑곶6길 6, 504호 (노형동,세븐빌딩)",,,2019-06-15 02:21:11
화엽 여행사,관광사업자,여행업,20131108,,영업/정상,,,,,82.0,제주특별자치도 제주시 연동 280 - 28,"제주특별자치도 제주시 도령로 136, 202호 (연동)",,,2019-06-15 02:21:11
부띠끄호텔 빌라드애월,관광사업자,관광숙박업,20120720,,영업/정상,,,,,8561.21,제주특별자치도 제주시 애월읍 신엄리 2768 - 7,제주특별자치도 제주시 애월읍 애월해안로 516-7,,,2019-06-15 02:21:11
오피러스호스텔,관광사업자,관광숙박업,20120813,,영업/정상,,,,,1074.84,제주특별자치도 제주시 외도이동 339,제주특별자치도 제주시 일주서로 7345 (외도이동),,일반음식점,2019-06-15 02:21:11
(주)교원스위트호텔 제주,관광사업자,관광숙박업,19940617,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 색달동 2812 - 10,제주특별자치도 서귀포시 중문관광로72번길 67 (색달동),,,2019-06-15 02:21:11
코델리아호스텔,관광사업자,관광숙박업,20120727,,영업/정상,,,,,949.66,제주특별자치도 서귀포시 성산읍 오조리 937 - 1,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-16,,인터넷룸,2019-06-15 02:21:11
로긴리조트,관광사업자,관광숙박업,20120921,,영업/정상,,,,,1999.74,제주특별자치도 제주시 용담삼동 2389,제주특별자치도 제주시 서해안로 1 (용담삼동),,,2019-06-15 02:21:11
The BBs JEJU,관광사업자,관광숙박업,20120827,,영업/정상,,,,,998.77,제주특별자치도 서귀포시 강정동 2480,제주특별자치도 서귀포시 이어도로 760 (강정동),,,2019-06-15 02:21:11
화이트캐슬,관광사업자,관광숙박업,20121112,,영업/정상,,,,,1267.25,제주특별자치도 서귀포시 서호동 30,제주특별자치도 서귀포시 이어도로 1060 (서호동),,,2019-06-15 02:21:11
해성파크텔,관광사업자,관광숙박업,20121009,,영업/정상,,,,,1335.75,제주특별자치도 서귀포시 중문동 2165 - 2,,,,2019-06-15 02:21:11
아름다운리조트,관광사업자,관광숙박업,20121102,,영업/정상,,,,,2991.16,제주특별자치도 서귀포시 성산읍 시흥리 5,제주특별자치도 서귀포시 성산읍 해맞이해안로 2644,,회의실,2019-06-15 02:21:11
제주일출가족호텔,관광사업자,관광숙박업,20121106,,영업/정상,,,,,2984.95,제주특별자치도 서귀포시 성산읍 수산리 2576,제주특별자치도 서귀포시 성산읍 서성일로 726-11,,,2019-06-15 02:21:11
