년월,시도명,읍면동명,국적,외국인유동인구수
2019-04,서귀포시,안덕면,중국 외,53546.69
2019-04,제주시,애월읍,중국,401609.07
2019-04,제주시,애월읍,중국 외,70320.33
2019-04,제주시,연동,중국,1224196.42
2019-04,제주시,연동,중국 외,172268.66
2019-04,서귀포시,영천동,중국,41284.14
2019-04,서귀포시,영천동,중국 외,18682.13
2019-04,서귀포시,예래동,중국,142065.76
2019-04,서귀포시,예래동,중국 외,59328.6
2019-04,제주시,오라동,중국,43431.27
2019-04,제주시,오라동,중국 외,17562.24
2019-04,제주시,외도동,중국,24285.28
2019-04,제주시,외도동,중국 외,17596.6
2019-04,제주시,용담1동,중국,9834.76
2019-04,제주시,용담1동,중국 외,4953.41
2019-04,제주시,용담2동,중국,651158.18
2019-04,제주시,용담2동,중국 외,186503.2
2019-04,제주시,우도면,중국,38408.92
2019-04,제주시,우도면,중국 외,11332.74
2019-04,제주시,이도1동,중국,25398.690000000002
2019-04,제주시,이도1동,중국 외,17467.87
2019-04,제주시,이도2동,중국,42697.83
2019-04,제주시,이도2동,중국 외,29787.32
2019-04,제주시,이호동,중국,31024.239999999998
2019-04,제주시,이호동,중국 외,12322.78
2019-04,제주시,일도1동,중국,10727.6
2019-04,제주시,일도1동,중국 외,6819.38
2019-04,제주시,일도2동,중국,47005.369999999995
2019-04,제주시,일도2동,중국 외,4718.7
2019-04,서귀포시,정방동,중국,36423.92
2019-04,서귀포시,정방동,중국 외,19785.829999999998
2019-04,제주시,조천읍,중국,94241.94
2019-04,제주시,조천읍,중국 외,44075.05
2019-04,서귀포시,중문동,중국,101116.43
2019-04,서귀포시,중문동,중국 외,26270.76
2019-04,서귀포시,중앙동,중국,8846.23
2019-04,서귀포시,중앙동,중국 외,6729.67
2019-04,서귀포시,천지동,중국,24981.47
2019-04,서귀포시,천지동,중국 외,12834.1
2019-04,제주시,추자면,중국,30670.82
2019-04,제주시,추자면,중국 외,10175.1
2019-04,서귀포시,표선면,중국,67126.61
2019-04,서귀포시,표선면,중국 외,40434.95
2019-04,제주시,한경면,중국,24596.16
2019-04,제주시,한경면,중국 외,9055.55
2019-04,제주시,한림읍,중국,61490.41
2019-04,제주시,한림읍,중국 외,28434.71
2019-04,제주시,화북동,중국,6526.38
2019-04,제주시,화북동,중국 외,11246.48
2019-04,서귀포시,효돈동,중국,3547.5
2019-04,서귀포시,효돈동,중국 외,1280.31
2019-05,제주시,건입동,중국,114293.96
2019-05,제주시,건입동,중국 외,50768.78
2019-05,제주시,구좌읍,중국,76186.68000000001
2019-05,제주시,구좌읍,중국 외,35209.44
2019-05,서귀포시,남원읍,중국,59626.29
2019-05,서귀포시,남원읍,중국 외,37684.24
2019-05,제주시,노형동,중국,419375.32
2019-05,제주시,노형동,중국 외,58919.5
2019-05,서귀포시,대륜동,중국,40148.75
2019-05,서귀포시,대륜동,중국 외,25575.3
2019-05,서귀포시,대정읍,중국,56421.88
2019-05,서귀포시,대정읍,중국 외,12992.21
2019-05,서귀포시,대천동,중국,23312.260000000002
2019-05,서귀포시,대천동,중국 외,13146.18
2019-05,제주시,도두동,중국,369897.77
2019-05,제주시,도두동,중국 외,53017.7
2019-05,서귀포시,동홍동,중국,38645.53
2019-05,서귀포시,동홍동,중국 외,17908.53
2019-05,제주시,봉개동,중국,26965.7
2019-05,제주시,봉개동,중국 외,11327.26
2019-05,제주시,삼도1동,중국,17609.01
2019-05,제주시,삼도1동,중국 외,17036.73
2019-05,제주시,삼도2동,중국,129398.54000000001
2019-05,제주시,삼도2동,중국 외,91152.7
2019-05,제주시,삼양동,중국,41741.2
2019-05,제주시,삼양동,중국 외,8270.67
2019-05,서귀포시,서홍동,중국,46178.32
2019-05,서귀포시,서홍동,중국 외,17303.48
2019-05,서귀포시,성산읍,중국,179411.55
